First,Last,Address,Email,Phone,Created,Balance,Last Visit,messages_period,total_balance,last_marketed,opted,id
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-21 23:33:13.917894+00:00,1,3.00,2021-10-22 04:40:50.705486+00:00,False,147
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.050767+00:00,0,0.00,2021-10-20 21:47:33.243605+00:00,False,148
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.063256+00:00,1,0.00,2021-10-22 04:40:30.084404+00:00,False,149
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.074299+00:00,1,0.00,2021-10-22 04:40:30.178537+00:00,False,150
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.086660+00:00,1,0.00,2021-10-22 04:40:30.272548+00:00,False,151
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.097610+00:00,1,0.00,2021-10-22 04:40:30.432902+00:00,False,152
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.109717+00:00,1,0.00,2021-10-22 04:40:30.528751+00:00,False,153
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.120580+00:00,1,0.00,2021-10-22 04:40:30.627223+00:00,False,154
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.133058+00:00,1,0.00,2021-10-22 04:40:30.726577+00:00,False,155
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.145131+00:00,1,0.00,2021-10-22 04:40:30.822715+00:00,False,156
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.157076+00:00,1,0.00,2021-10-22 04:40:30.927867+00:00,False,157
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.169887+00:00,1,0.00,2021-10-22 04:40:31.012933+00:00,False,158
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.180579+00:00,1,0.00,2021-10-22 04:40:31.116301+00:00,False,159
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.192596+00:00,1,0.00,2021-10-22 04:40:31.227153+00:00,False,160
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.209957+00:00,1,0.00,2021-10-22 04:40:31.332516+00:00,False,161
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.225223+00:00,1,0.00,2021-10-22 04:40:31.430964+00:00,False,162
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.237348+00:00,1,0.00,2021-10-22 04:40:31.521928+00:00,False,163
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.249459+00:00,1,0.00,2021-10-22 04:40:31.617202+00:00,False,164
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.261849+00:00,1,0.00,2021-10-22 04:40:31.716434+00:00,False,165
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.273387+00:00,1,0.00,2021-10-22 04:40:31.816393+00:00,False,166
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.285503+00:00,1,0.00,2021-10-22 04:40:31.914847+00:00,False,167
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.297821+00:00,1,0.00,2021-10-22 04:40:32.017712+00:00,False,168
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.308776+00:00,1,0.00,2021-10-22 04:40:32.116192+00:00,False,169
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.320858+00:00,1,0.00,2021-10-22 04:40:32.214923+00:00,False,170
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.332842+00:00,1,0.00,2021-10-22 04:40:32.325134+00:00,False,171
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.345295+00:00,1,0.00,2021-10-22 04:40:32.416511+00:00,False,172
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.374353+00:00,1,0.00,2021-10-22 04:40:32.512522+00:00,False,173
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.385281+00:00,1,0.00,2021-10-22 04:40:32.608649+00:00,False,174
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.398379+00:00,1,0.00,2021-10-22 04:40:32.710044+00:00,False,175
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.409141+00:00,1,0.00,2021-10-22 04:40:32.805285+00:00,False,176
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.421395+00:00,1,0.00,2021-10-22 04:40:32.901401+00:00,False,177
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.434618+00:00,1,0.00,2021-10-22 04:40:33.003938+00:00,False,178
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.445795+00:00,1,0.00,2021-10-22 04:40:33.098051+00:00,False,179
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.456793+00:00,1,0.00,2021-10-22 04:40:33.201600+00:00,False,180
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.469153+00:00,1,0.00,2021-10-22 04:40:33.309537+00:00,False,181
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.481384+00:00,1,0.00,2021-10-22 04:40:33.409074+00:00,False,182
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.493493+00:00,1,0.00,2021-10-22 04:40:33.499108+00:00,False,183
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.505655+00:00,1,0.00,2021-10-22 04:40:33.598143+00:00,False,184
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.520755+00:00,1,0.00,2021-10-22 04:40:33.703238+00:00,False,185
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-19,0.00,2021-10-19 18:24:52.531755+00:00,1,0.00,2021-10-22 04:40:33.799127+00:00,False,186
Giovanni,Milana,ggfgfgfhdhsjs gfgdhsjsj fgh,java115599@gmail.com,4703578182,2021-10-19,1100.04,2021-10-20 19:08:03.757891+00:00,1,1100.04,2021-10-22 04:40:46.533437+00:00,True,187
Giovanni,Milana,hdhdhdhhdhd,java115599@gmail.com,4703578182,2021-10-19,300.00,2021-10-19 20:11:07.157129+00:00,1,300.00,2021-10-22 04:40:33.891787+00:00,False,188
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.402623+00:00,1,0.00,2021-10-22 04:40:33.988755+00:00,False,189
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.422333+00:00,1,0.00,2021-10-22 04:40:34.217520+00:00,False,190
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.437144+00:00,1,0.00,2021-10-22 04:40:34.327032+00:00,False,191
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.451846+00:00,1,0.00,2021-10-22 04:40:34.435212+00:00,False,192
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.464274+00:00,1,0.00,2021-10-22 04:40:34.527628+00:00,False,193
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.476645+00:00,1,0.00,2021-10-22 04:40:34.638285+00:00,False,194
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.490598+00:00,1,0.00,2021-10-22 04:40:34.741909+00:00,False,195
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.503404+00:00,1,0.00,2021-10-22 04:40:34.839155+00:00,False,196
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.515806+00:00,1,0.00,2021-10-22 04:40:34.934927+00:00,False,197
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.528857+00:00,1,0.00,2021-10-22 04:40:35.040071+00:00,False,198
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.546968+00:00,1,0.00,2021-10-22 04:40:35.132348+00:00,False,199
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.559514+00:00,1,0.00,2021-10-22 04:40:35.229907+00:00,False,200
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.572365+00:00,1,0.00,2021-10-22 04:40:35.336057+00:00,False,201
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.584958+00:00,1,0.00,2021-10-22 04:40:35.441537+00:00,False,202
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.596050+00:00,1,0.00,2021-10-22 04:40:35.546809+00:00,False,203
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.608517+00:00,1,0.00,2021-10-22 04:40:35.653408+00:00,False,204
test,tester,hhhhhhhhhhhhhhhh,gtechmedia840@gmail.com,4703570000,2021-10-20,0.00,2021-10-20 17:58:13.622923+00:00,1,0.00,2021-10-22 04:40:35.744831+00:00,False,205
